,forecast,lower_ci,upper_ci
2034-01-31,25.32565294148998,23.28478650607744,27.36651937690252
2034-02-28,26.473495797460792,21.37534113336568,31.571650461555905
2034-03-31,26.6504666650932,18.659575698458394,34.64135763172801
2034-04-30,26.274338496444802,16.309751554747052,36.23892543814255
2034-05-31,25.662404008590322,14.567598096537864,36.75720992064278
2034-06-30,25.025009400842045,13.387905853284378,36.66211294839971
2034-07-31,24.47984589238459,12.634455580250648,36.32523620451853
2034-08-31,24.07506191103271,12.17278451116583,35.97733931089959
2034-09-30,23.81329075202688,11.903946712674655,35.72263479137911
2034-10-31,23.672177540259558,11.763812800873874,35.58054227964524
2034-11-30,23.619605436143903,11.710134152962494,35.52907671932531
2034-12-31,23.623531378539255,11.711773597688442,35.53528915939007
2035-01-31,23.65727911848254,11.744078222774553,35.57048001419052
2035-02-28,23.701502018683335,11.788223789025647,35.61478024834102
2035-03-31,23.744023252041632,11.831484860108938,35.65656164397433
2035-04-30,23.778557657209845,11.866853240224515,35.690262074195175
2035-05-31,23.803042857255786,11.891839594512994,35.71424611999858
2035-06-30,23.818037062963814,11.906915396650483,35.729158729277145
2035-07-31,23.825419203244586,11.914071073155261,35.73676733333391
2035-08-31,23.827468225248904,11.915748672738404,35.739187777759405
2035-09-30,23.826299977013164,11.914195335068195,35.738404618958135
2035-10-31,23.82359058222609,11.91116246638447,35.73601869806771
2035-11-30,23.820500333632104,11.90783784362214,35.73316282364207
2035-12-31,23.817718396519375,11.90490819206075,35.730528600978
2036-01-31,23.8155652441744,11.902677395469837,35.728453092878965
2036-02-29,23.814109203928396,11.901193346224723,35.72702506163207
2036-03-31,23.813271239049,11.900358196202259,35.72618428189574
2036-04-30,23.812905965642464,11.900011659607834,35.725800271677095
2036-05-31,23.81285638226292,11.899986236481537,35.7257265280443
2036-06-30,23.812985321870034,11.900138250855125,35.72583239288494
2036-07-31,23.813189119311097,11.900360704473982,35.72601753414821
2036-08-31,23.81339941388071,11.900584158673578,35.72621466908784
2036-09-30,23.813578252395196,11.900770983508998,35.726385521281394
2036-10-31,23.813710392725397,11.900906969235752,35.726513816215046
2036-11-30,23.813795376788928,11.900992904638919,35.72659784893894
2036-12-31,23.81384079702108,11.901037538007827,35.72664405603433
2037-01-31,23.81385732601529,11.90105245582178,35.72666219620881
2037-02-28,23.813855523499445,11.901048848422167,35.72666219857672
2037-03-31,23.813844132814953,11.901035831633681,35.72665243399622
2037-04-30,23.813829464021214,11.901019886658208,35.72663904138422
2037-05-31,23.813815465670814,11.901004996122563,35.72662593521906
2037-06-30,23.81380415611438,11.900993132888393,35.726615179340364
2037-07-31,23.813796177029502,11.900984857820067,35.72660749623894
2037-08-31,23.813791320854378,11.900979876935239,35.72660276477352
2037-09-30,23.813788956462396,11.90097748402903,35.726600428895765
2037-10-31,23.813788329182426,11.900976867947296,35.72659979041755
2037-11-30,23.813788743165407,11.900977295774604,35.72660019055621
2037-12-31,23.813789649972133,11.900978198638821,35.72660110130545
